input,output
"Finding center, focus","The feeling of a warm, calming hand on your shoulder"
"Finding center, focus",A clear blue sky
"Finding center, focus",A feeling of being grounded
"Finding center, focus",A feeling of peace and contentment
"Finding center, focus",A sense of calm and peace
"Finding center, focus",A sense of clarity
"Finding center, focus",The feeling of the sun on your face as you close your eyes and take a moment to be still
"Finding center, focus",The feeling of the sun on your skin
"Finding center, focus",The feeling of warm sunlight on your skin
"Finding center, focus",The feeling of your breath slowing down and your heart rate calming down
"Finding center, focus",The feeling of your feet planted firmly on the ground
"Finding center, focus",The feeling of your muscles relaxing as you let go of tension
"Finding center, focus",The gentle swaying of a hammock
"Finding center, focus",The sensation of your muscles relaxing as you breathe deeply
"Finding center, focus",The sight of a candle flame flickering in the darkness
"Finding center, focus",The sight of a clear blue sky
"Finding center, focus",The sight of a serene mountain lake
"Finding center, focus",The smell of fresh air
"Finding center, focus",The smell of fresh-cut grass
"Finding center, focus",The smell of incense or essential oils in the air
"Finding center, focus",The smell of incense wafting through the air
"Finding center, focus",The sound of a gentle breeze rustling leaves
"Finding center, focus",The sound of a gong ringing softly in the distance
"Finding center, focus",The sound of a single bird chirping in the distance
"Finding center, focus",The sound of birds chirping
"Finding center, focus",The sound of raindrops hitting the leaves of a tree
"Finding center, focus",The sound of your breath as you inhale and exhale deeply
"Finding center, focus",The sound of your own breath
"Finding center, focus",The sound of your own breath as you sit in silence
"Finding center, focus",The taste of a peppermint tea
"Finding center, focus",The taste of a piece of fruit as you savor its sweetness
"Finding center, focus",The taste of a ripe peach
"Rain softens, then stops",A cool breeze blowing through the trees
"Rain softens, then stops",A cool breeze that smells like wet leaves
"Rain softens, then stops",A rainbow emerging through the clouds
"Rain softens, then stops",A rainbow forming in the sky
"Rain softens, then stops",A rainbow in the sky
"Rain softens, then stops",The feeling of a warm breeze blowing on your skin
"Rain softens, then stops",The feeling of the sun on your skin
"Rain softens, then stops",The feeling of the sun warming up your skin
"Rain softens, then stops",The sight of puddles reflecting the sunlight
"Rain softens, then stops",The sky turning a brighter shade of blue
"Rain softens, then stops",The smell of the earth after a rainstorm
"Rain softens, then stops",The smell of wet concrete
"Rain softens, then stops",The smell of wet earth
"Rain softens, then stops",The smell of wet leaves and grass
"Rain softens, then stops",The smell of wet pavement
"Rain softens, then stops",The sound of a dripping faucet
"Rain softens, then stops",The sound of a light drizzle petering out
"Rain softens, then stops",The sound of birds chirping again
"Rain softens, then stops",The sound of birds chirping as the sun comes out
"Rain softens, then stops",The sound of birds chirping happily
"Rain softens, then stops",The sound of birds chirping in the trees
"Rain softens, then stops",The sound of birdsong starting to return
"Rain softens, then stops",The sound of birdsong starting up again
"Rain softens, then stops",The sound of puddles gently splashing as people walk by
"Rain softens, then stops",The sound of raindrops gently hitting leaves
"Rain softens, then stops",The sound of raindrops gently pinging off the sidewalk
"Rain softens, then stops",The sound of raindrops slowing down and finally stopping
"Rain softens, then stops",The sound of raindrops slowing down and then stopping
"Rain softens, then stops",The sound of the raindrops slowing down and becoming more spaced out
"Rain softens, then stops",The sun peeking out from behind the clouds
A dream concert come true,"The sight of your favorite band members up close, performing their hearts out"
A dream concert come true,"The taste of your favorite candy bar, which you've been saving for this moment"
A dream concert come true,A sea of cell phone lights waving in the air
A dream concert come true,The deafening roar of the crowd
A dream concert come true,The deafening roar of the crowd as the band takes the stage
A dream concert come true,The feel of the crowd pushing and shoving against you as you try to get closer to the stage
A dream concert come true,The feeling of euphoria and excitement
A dream concert come true,The feeling of your body being pressed up against other bodies
A dream concert come true,The feeling of your heart pounding in your chest as you sing along to every word
A dream concert come true,The feeling of your heart pounding in your chest with excitement
A dream concert come true,The feeling of your heart pounding out of your chest as you sing along to your favorite song
A dream concert come true,The feeling of your heart pounding out of your chest as you wait for the artist to come on stage
A dream concert come true,The roar of the crowd as the lights go down and the band takes the stage
A dream concert come true,The roar of the crowd as your favorite band takes the stage
A dream concert come true,The sight of thousands of glowing cell phones lighting up the darkness
A dream concert come true,The sight of thousands of people dancing and swaying in unison
A dream concert come true,The sight of your favorite artist performing right in front of you
A dream concert come true,The sight of your favorite band members performing right in front of you
A dream concert come true,The sight of your favorite band performing live on stage
A dream concert come true,The smell of sweat and beer
A dream concert come true,The smell of sweat and beer in the air
A dream concert come true,The smell of sweat and body odor in a crowded venue
A dream concert come true,The sound of thousands of people singing along in unison
A dream concert come true,The sound of your favorite song blasting through the speakers
A dream concert come true,The taste of a cold beer after a long day of standing in line
A dream concert come true,The taste of a cold beer after a long night of dancing
A dream concert come true,The taste of a cold beer as you take a break from dancing
A dream concert come true,The taste of overpriced concessions
A dream concert come true,The taste of your favorite drink as you celebrate with your friends
A fresh start,"A bright, sunny day"
A fresh start,"A clean, empty slate"
A fresh start,"A clean, white canvas ready to be painted"
A fresh start,"A clean, white notebook"
A fresh start,"The sight of a clean, empty desk"
A fresh start,"The smell of a clean, freshly-mopped floor"
A fresh start,A blank canvas
A fresh start,A blank page in a notebook
A fresh start,A clean slate
A fresh start,A crisp new shirt
A fresh start,A crisp white shirt
A fresh start,A crisp white shirt on a hanger
A fresh start,A crisp white t-shirt
A fresh start,A fresh cup of coffee
A fresh start,A new notebook
A fresh start,A new notebook with blank pages
A fresh start,A new pair of shoes that haven't been worn yet
A fresh start,A walk in the park on a sunny day
A fresh start,The feeling of a brand new notebook in your hands
A fresh start,The feeling of a cool breeze on your skin
A fresh start,The smell of clean laundry
A fresh start,The smell of fresh-cut grass
A fresh start,The smell of freshly cut grass
A fresh start,The smell of spring rain
A fresh start,The sound of a bird singing its first song of the day
A fresh start,The sound of birds chirping in the trees
A fresh start,The sound of birds chirping outside your window
A fresh start,The taste of a fresh cup of coffee
A laugh with colleagues,"A group of people sitting at a table, smiling and talking"
A laugh with colleagues,A colleague's coffee cup sloshing over as they clutch their sides in laughter
A laugh with colleagues,A shared sense of humor
A laugh with colleagues,A shared sense of relief after a long day of work
A laugh with colleagues,A warm glow of light from the windows
A laugh with colleagues,The feeling of camaraderie and closeness
A laugh with colleagues,The feeling of camaraderie and shared laughter
A laugh with colleagues,The feeling of someone's shoulder shaking as they laugh
A laugh with colleagues,The feeling of warm camaraderie
A laugh with colleagues,The feeling of warmth and camaraderie
A laugh with colleagues,The feeling of your shoulders relaxing and your muscles unclenching
A laugh with colleagues,The sight of colleagues smiling and exchanging stories
A laugh with colleagues,The sight of smiling faces and bright eyes
A laugh with colleagues,The sight of your colleagues' faces crinkling up with joy
A laugh with colleagues,The smell of coffee and bagels in the break room
A laugh with colleagues,The smell of coffee and donuts in the break room
A laugh with colleagues,The smell of coffee and pastries in the break room
A laugh with colleagues,The smell of coffee and pastries wafting through the office
A laugh with colleagues,The sound of a group of people clinking their glasses together in a toast
A laugh with colleagues,The sound of colleagues cracking up at a shared joke
A laugh with colleagues,The sound of colleagues laughing so hard that they're gasping for air
A laugh with colleagues,The sound of colleagues sharing a joke and laughing together
A laugh with colleagues,The sound of shared laughter and inside jokes
A laugh with colleagues,The sound of shared laughter bouncing off the walls of a conference room
A laugh with colleagues,The sound of shared laughter that fills the office
A laugh with colleagues,The sound of your colleagues' laughter echoing off the walls of the office
A laugh with colleagues,The taste of a fresh-baked pastry
A laugh with colleagues,The taste of your favorite fruit-flavored sparkling water
A loose button,A button that is barely hanging on by a thread
A loose button,A loose button that is constantly catching on your clothes
A loose button,A loose button that is making you feel self-conscious
A loose button,The feel of a loose button sliding against your skin as you move
A loose button,The feel of a loose button slipping through your fingers
A loose button,The feel of the button sliding against the fabric of your shirt
A loose button,The feel of the button sliding against your skin as you try to fasten it
A loose button,The feeling of a loose button scratching against your skin
A loose button,The feeling of a loose button sliding against your skin as you move
A loose button,The feeling of relief when you finally get the button fastened
A loose button,The feeling of the button scratching your skin
A loose button,The satisfying sound of popping a loose button back into place
A loose button,The sight of a loose button hanging by a thread
A loose button,The sight of a loose button popping off a shirt
A loose button,The sight of a loose button popping off of a shirt and landing on the floor
A loose button,The sight of a loose button popping off your shirt and bouncing onto the floor
A loose button,The sight of a thread dangling from the buttonhole
A loose button,The sight of the button popping off and bouncing away
A loose button,The sight of the button rolling across the floor and getting lost
A loose button,The sight of the buttonhole gaping open
A loose button,The smell of your sweaty skin as you struggle to fasten the button
A loose button,The sound of a button scraping against your skin as you move
A loose button,The sound of a loose button clanking against a table as you set it down
A loose button,The sound of a loose button hitting the floor
A loose button,The sound of a loose button popping off of a shirt
A loose button,The sound of the button hitting the floor as it falls off
A loose button,The sound of the button popping off when you finally get it fastened
A loose button,The sound of the button scraping against your shirt as you move
A loose button,The sound of the button scraping against your shirt as you try to fasten it
A loose button,The taste of a loose button in your mouth
A loose button,The taste of salt from your sweat as you try to fasten the button back on
A loose button,The taste of salt on your lips as you lick your finger to try to stick the button back on
A moment of pure bliss,"A cup of hot chocolate, steam rising from the surface"
A moment of pure bliss,A warm breeze blowing through your hair
A moment of pure bliss,The feel of a warm blanket on your skin
A moment of pure bliss,The feeling of a loved one's arms wrapped around you
A moment of pure bliss,The feeling of being completely at peace
A moment of pure bliss,The feeling of being completely relaxed
A moment of pure bliss,The feeling of sun on your skin
A moment of pure bliss,The feeling of warm sun on your skin
A moment of pure bliss,The feeling of warm sunlight on your skin
